Name,Mass,e_Mass,j,e_j,fgas,e_fgas,Dist,e_Dist,c(lM-lfgas),c(lM-lj),c(lfgas-lj)
NGC0247   , 6.18e+09, 1.04e+09,  599.6,  40.8, 0.43, 0.07, 3.51, 0.09,-0.81,-0.29, 0.58
NGC0925   , 1.17e+10, 2.47e+09,  634.5,  62.1, 0.24, 0.05, 8.91, 0.28,-0.82,-0.21, 0.39
NGC2403   , 9.27e+09, 1.52e+09,  673.9,  68.8, 0.46, 0.07, 3.16, 0.16,-0.67,-0.19, 0.67
NGC3319   , 5.40e+09, 1.26e+09,  580.3,  63.7, 0.16, 0.04,13.00, 0.53,-0.80,-0.07, 0.31
NGC3917   , 1.30e+10, 4.02e+09,  778.5,  91.8, 0.17, 0.04,18.00, 2.50,-0.49, 0.61, 0.11
NGC3972   , 7.86e+09, 2.46e+09,  483.6,  72.9, 0.16, 0.04,18.00, 2.50,-0.49, 0.62, 0.08
NGC4010   , 1.01e+10, 2.96e+09,  520.1,  85.5, 0.22, 0.05,18.00, 2.50,-0.46, 0.62, 0.12
NGC4085   , 1.12e+10, 3.80e+09,  333.4,  59.6, 0.08, 0.02,18.00, 2.50,-0.52, 0.62, 0.06
NGC4183   , 9.94e+09, 2.44e+09,  800.7,  94.7, 0.46, 0.07,18.00, 2.50,-0.34, 0.66, 0.20
NGC5584   , 1.37e+10, 3.14e+09,  801.5,  66.8, 0.17, 0.04,22.40, 0.72,-0.83, 0.00, 0.12
UGC03580  , 1.31e+10, 5.08e+09,  815.7, 223.1, 0.45, 0.07,20.70, 5.20,-0.18, 0.70, 0.25
UGC06930  , 8.46e+09, 2.06e+09,  786.0, 135.5, 0.49, 0.07,18.00, 2.50,-0.32, 0.49, 0.11
UGC06983  , 6.21e+09, 1.49e+09,  777.5, 102.7, 0.60, 0.07,18.00, 2.50,-0.26, 0.70, 0.18
UGC07125  , 5.87e+09, 2.89e+09,  579.9, 161.2, 0.76, 0.05,19.80, 5.90,-0.06, 0.80, 0.07
UGC11557  , 8.24e+09, 3.54e+09,  334.5, 142.6, 0.27, 0.06,24.20, 6.05,-0.25, 0.45, 0.05
